filename,rg_med,rg_ts,rg_ts_h,rg_ts_l,io_med,io_ts,Vp,mass_vp,porod_poly,porod_ts,porod_ts_h,porod_ts_l,rc_med,rc_std_err_med,rad_rat,elong,vc,rgvc,N,M
SASBDB_protein_dat\SASDA59.dat,52.27,40.86,38.71,43.41,9329.98,9574.68,259984.55,215.79,2.06,2.08,2.03,2.12,24.154,33.229,1.691645276,FALSE,783.45,34.28,1525,170.8
SASBDB_protein_dat\SASDA62.dat,37.64,37.13,33.93,40.01,128.96,146.38,289912.34,240.63,3.08,3.21,3.16,3.26,15.951,12.584,2.327753746,FALSE,815.22,34.97,1617,181.1
SASBDB_protein_dat\SASDA67.dat,41.35,30.4,28.99,31.97,3676.57,2800.54,39684.52,32.94,1.91,1.17,1.12,1.21,13.699,8.304,2.219140083,FALSE,251.91,19.44,290,32.48
SASBDB_protein_dat\SASDA69.dat,58.21,42.96,40.65,50.88,5777.86,5677.79,290027.83,240.72,2.09,2.1,2.06,2.13,19.602,9.806,2.191613101,FALSE,844.8,35.6,1703,190.74
SASBDB_protein_dat\SASDA76.dat,40.72,37.68,36.35,39.11,1033.7,1081,144350.81,119.81,2.16,1.66,1.55,1.77,23.209,10.015,1.623508122,FALSE,520.79,27.95,840,94.08
SASBDB_protein_dat\SASDA77.dat,51.03,36.81,34.55,39.25,3983.39,2899.8,62277.5,51.69,1.87,1.11,1.05,1.18,15.727,9.823,2.340560819,FALSE,301.25,21.26,377,42.22
SASBDB_protein_dat\SASDA86.dat,33.94,33.09,32.38,33.82,982.5,1112.49,111803.12,92.8,2.53,1.89,1.81,1.95,17.876,8.462,1.851085254,FALSE,464.99,26.41,711,79.63
SASBDB_protein_dat\SASDA87.dat,46.76,32.15,30.65,33.89,4509.34,3137.75,45235.11,37.55,1.83,1.25,1.21,1.3,15.812,10.454,2.033265874,FALSE,264.17,19.91,311,34.83
SASBDB_protein_dat\SASDA89.dat,37.1,37.41,37.22,37.61,0.15,0.15,316542.98,262.73,2.61,2.68,2.58,2.8,14.532,8.124,2.574318745,FALSE,802.7,34.7,1580,176.96
SASBDB_protein_dat\SASDA92.dat,39.68,40.14,39.86,40.51,214.22,214.87,475609.57,394.76,2.83,2.85,2.76,2.94,19.059,9.02,2.10609161,FALSE,1002.08,38.77,2186,244.83
SASBDB_protein_dat\SASDA99.dat,40.76,40.51,40.43,40.56,0.09,0.09,344079.02,285.59,2.77,2.9,2.79,2.98,14.207,8.68,2.851411276,FALSE,879.05,36.31,1805,202.16
SASBDB_protein_dat\SASDAA2.dat,40.07,34.89,34.47,35.31,76.46,77.57,197907.91,164.26,2.28,2.24,2.18,2.32,15.202,9.481,2.295092751,FALSE,620.95,30.52,1086,121.63
SASBDB_protein_dat\SASDAA4.dat,37.63,37.77,36.64,38.64,155.69,155.77,116149.34,96.4,1.51,1.53,1.47,1.57,11.531,4.003,3.275518168,TRUE,460.33,26.28,701,78.51
SASBDB_protein_dat\SASDAA6.dat,26.07,27.98,27.87,28.09,459.01,522.32,133695.87,110.97,2.57,3.18,3.07,3.29,15.861,5.215,1.764075405,FALSE,491.54,27.15,772,86.46
SASBDB_protein_dat\SASDAA7.dat,39.43,37.66,37.43,38.26,0.07,0.07,242570.31,201.33,2.31,2.62,2.41,2.76,14.284,8.344,2.636516382,FALSE,699.03,32.38,1291,144.59
SASBDB_protein_dat\SASDAA9.dat,38.92,38.06,37.89,38.24,231.62,232.07,379019.67,314.59,3.11,3.23,3.12,3.34,12.325,9.182,3.088032454,TRUE,905.57,36.86,1885,211.12
SASBDB_protein_dat\SASDAB2.dat,18.55,12.67,12.52,12.81,1330.74,1198.29,11705.05,9.72,2.43,3.7,3.58,3.86,9.282,3.905,1.365007541,FALSE,132.54,14.1,114,12.77
SASBDB_protein_dat\SASDAB4.dat,32.57,32.19,31.31,33.13,153.11,152.39,89240.73,74.07,1.48,1.51,1.47,1.56,11.096,3.377,2.901045422,FALSE,380.86,23.9,531,59.47
SASBDB_protein_dat\SASDAB5.dat,28.73,30.02,29.75,30.32,34.13,36.34,88007.37,73.05,2.14,2.14,2.11,2.16,13.319,6.286,2.253922967,FALSE,414.87,24.95,602,67.42
SASBDB_protein_dat\SASDAB6.dat,33.16,32.32,32.17,32.46,3694.06,3756.13,311889.59,258.87,3.33,3.54,3.42,3.68,19.384,6.536,1.667354519,FALSE,754.02,33.63,1442,161.5
SASBDB_protein_dat\SASDAB8.dat,68.97,58.57,56.83,60.56,1.12,1.03,427142.13,354.53,1.55,1.62,1.54,1.71,27.081,27.019,2.162770946,FALSE,974.61,38.23,2099,235.09
SASBDB_protein_dat\SASDAC6.dat,19.85,19.72,19.62,19.82,17.85,18.13,27406.89,22.75,2.26,2.24,2.18,2.28,8.719,3.127,2.261727262,FALSE,220.27,18.18,239,26.77
SASBDB_protein_dat\SASDAD7.dat,30.81,32.58,31.85,33.37,65.95,73.46,132715.56,110.15,2.01,1.86,1.81,1.91,15.595,7.086,2.089131132,FALSE,476.79,26.74,738,82.66
SASBDB_protein_dat\SASDAD8.dat,26.31,25.85,25.62,26.09,0.19,0.18,85250.35,70.76,2.6,2.74,2.66,2.81,6.153,5.365,4.201202665,TRUE,367.23,23.47,504,56.45
SASBDB_protein_dat\SASDAE5.dat,30.85,34.9,34.48,35.24,68.83,83.84,211538.94,175.58,2.38,2.51,2.46,2.57,15.265,7.427,2.286275794,FALSE,648.15,31.18,1156,129.47
SASBDB_protein_dat\SASDAE6.dat,29.89,25.84,25.41,26.3,19.72,19.75,53624,44.51,1.67,1.69,1.66,1.72,10.847,4.086,2.3822255,FALSE,293.11,20.97,362,40.54
SASBDB_protein_dat\SASDAE8.dat,22.91,23.17,22.91,23.42,20.32,21.75,47909.11,39.76,2.03,2.08,2.04,2.13,8.76,4.39,2.644977169,FALSE,268.48,20.07,319,35.73
SASBDB_protein_dat\SASDAF5.dat,34.12,38.09,36.63,38.87,68.65,81.87,222263.79,184.48,2.24,2.24,2.2,2.29,14.197,8.126,2.682961189,FALSE,679.89,31.93,1240,138.88
SASBDB_protein_dat\SASDAF6.dat,38.6,41.61,38.43,42.62,0.15,0.17,174844.31,145.12,1.65,1.71,1.48,1.89,15.744,5.829,2.642911585,FALSE,608.84,30.22,1055,118.16
SASBDB_protein_dat\SASDAF8.dat,22.29,22.51,22.27,22.76,24.18,25.77,40529.59,33.64,1.99,1.92,1.88,1.97,8.7,3.899,2.587356322,FALSE,249.35,19.34,286,32.03
SASBDB_protein_dat\SASDAG4.dat,44.93,44.63,44.33,44.86,106.09,118.93,366113.03,303.87,2.4,2.43,2.39,2.47,17.338,8.919,2.574114661,FALSE,937.81,37.51,1984,222.21
SASBDB_protein_dat\SASDAG6.dat,24.4,26.18,24.86,27.6,0.08,0.08,62913.73,52.22,1.74,1.64,1.52,1.78,12.003,3.968,2.181121386,FALSE,295.06,21.04,366,40.99
SASBDB_protein_dat\SASDAG7.dat,25.4,26.13,25.9,26.37,7598.33,7971.09,87801.07,72.87,2.23,2.25,2.21,2.28,12.276,4.419,2.1285435,FALSE,359.1,23.21,488,54.66
SASBDB_protein_dat\SASDAG8.dat,22.93,22.78,22.63,22.94,33.87,34.98,46238.2,38.38,2.03,2.11,2.08,2.14,9.207,4.211,2.47420441,FALSE,265.98,19.97,314,35.17
SASBDB_protein_dat\SASDAH2.dat,20.96,16.66,16.57,16.74,11.44,10.82,22414.03,18.6,2.75,3.1,3.01,3.18,12.048,11.481,1.382802125,FALSE,195.04,17.1,200,22.4
SASBDB_protein_dat\SASDAH8.dat,18.93,19.11,19.04,19.18,28.59,29.91,32494.94,26.97,2.53,2.65,2.59,2.71,8.146,4.007,2.345936656,FALSE,226.6,18.44,249,27.89
SASBDB_protein_dat\SASDAJ5.dat,26.38,23.17,23.02,23.3,40.27,38.94,66604.45,55.28,2.54,2.69,2.63,2.75,12.925,5.385,1.792649903,FALSE,312.84,21.66,399,44.69
SASBDB_protein_dat\SASDAJ8.dat,31.59,31.84,31.42,32.2,57.42,60.96,132193.59,109.72,2.1,2.08,2.02,2.14,10.89,6.775,2.923783287,FALSE,485.2,26.98,757,84.78
SASBDB_protein_dat\SASDAK6.dat,37.28,33.8,33.6,33.95,167.31,165.51,335478.9,278.45,3.25,3.31,3.21,3.41,17.351,7.503,1.948014524,FALSE,780.65,34.22,1517,169.9
SASBDB_protein_dat\SASDAK8.dat,27.39,28.11,27.55,28.62,35.18,39.38,99457.69,82.55,2.13,1.98,1.91,2.04,10.858,5.977,2.588874563,FALSE,405.37,24.66,582,65.18
SASBDB_protein_dat\SASDAL5.dat,27.99,28.3,27.77,28.93,34.27,39.22,99676.3,82.73,2.31,2.23,2.17,2.29,17.323,10.084,1.633666224,FALSE,409.06,24.77,590,66.08
SASBDB_protein_dat\SASDAL6.dat,38.67,37.89,37.67,38.12,31239.45,31718.87,394364.97,327.32,2.98,3.06,2.94,3.19,16.537,9.216,2.291225736,FALSE,912.18,36.99,1905,213.36
SASBDB_protein_dat\SASDAM5.dat,33.53,34.77,33.7,35.69,2721.13,3062.04,135730.26,112.66,2.4,1.98,1.9,2.07,15.815,8.926,2.198545684,FALSE,503.29,27.48,799,89.49
SASBDB_protein_dat\SASDAM6.dat,34.61,36.66,36.41,36.94,23197.68,25078.58,394684.32,327.59,3.08,3.26,3.17,3.35,18.948,6.706,1.934768841,FALSE,886.21,36.46,1827,204.62
SASBDB_protein_dat\SASDAM8.dat,34.33,37.19,36.21,38.04,3781.63,4305.1,239913.84,199.13,2.23,2.19,2.16,2.24,18.97,5.796,1.96046389,FALSE,687.05,32.1,1259,141.01
SASBDB_protein_dat\SASDAN3.dat,43.62,42.29,41.84,42.68,8977.73,10037.74,383790.52,318.55,2.73,2.39,2.22,2.55,24.53,8.597,1.724011415,FALSE,969.76,38.14,2084,233.41
SASBDB_protein_dat\SASDAP4.dat,32.74,27.63,26.91,28.4,2432.61,2537.4,76159.87,63.21,2.23,1.84,1.77,1.93,15.995,6.572,1.727414817,FALSE,358.78,23.2,487,54.54
SASBDB_protein_dat\SASDAP7.dat,54.43,45.1,42.83,47.23,1219.47,1264.47,204907.89,170.07,2.89,1.7,1.37,1.98,31.114,33.173,1.44950826,FALSE,628.54,30.71,1105,123.76
SASBDB_protein_dat\SASDAQ2.dat,16.94,13.53,13.44,13.62,7.77,7.35,8903.77,7.39,2.58,2.81,2.72,2.89,10.629,10.855,1.272932543,FALSE,131.23,14.03,112,12.54
SASBDB_protein_dat\SASDAQ3.dat,49.14,43.74,40.58,56.41,154.11,144.98,487513.65,404.64,2.57,2.6,2.53,2.68,27.025,11.606,1.618501388,FALSE,1055.55,39.79,2359,264.21
SASBDB_protein_dat\SASDAQ8.dat,22.34,22.41,22.29,22.52,32.52,33.33,61256.86,50.84,2.56,2.64,2.56,2.72,11.098,3.694,2.019282754,FALSE,301.33,21.26,377,42.22
SASBDB_protein_dat\SASDAR2.dat,20.96,16.02,15.98,16.07,14.14,13.63,21321.81,17.7,2.6,2.65,2.61,2.7,9.614,10.626,1.66631995,FALSE,168.38,15.89,161,18.03
SASBDB_protein_dat\SASDAS6.dat,31.48,30.34,29.06,31.66,16.98,16.94,75047.46,62.29,1.5,1.55,1.52,1.58,10.816,3.58,2.80510355,FALSE,343.01,22.68,456,51.07
SASBDB_protein_dat\SASDAS7.dat,57.97,54.85,53,56.92,154.23,160.09,543656.84,451.24,1.23,1.2,1.18,1.22,22.287,12.578,2.461075964,FALSE,1210.39,42.61,2881,322.67
SASBDB_protein_dat\SASDAT6.dat,29.78,21.29,21.19,21.4,578.43,586.2,40008.85,33.21,2.51,2.57,2.51,2.67,11.498,7.749,1.85162637,FALSE,259.56,19.73,303,33.94
SASBDB_protein_dat\SASDAU4.dat,24.61,22.5,22.41,22.58,35.17,36.58,59606.93,49.47,2.5,3,2.92,3.1,16.167,15.471,1.391723882,FALSE,316.34,21.78,405,45.36
SASBDB_protein_dat\SASDAU8.dat,32.04,35.22,34.08,36.86,12531.31,15796.4,226175.16,187.73,3.27,3.37,3.31,3.43,15.952,8.993,2.207873621,FALSE,699.95,32.4,1294,144.93
SASBDB_protein_dat\SASDAV4.dat,25.21,23.91,23.75,24.09,34.46,37.13,92260.26,76.58,2.64,2.79,2.72,2.87,16.113,8.972,1.483894992,FALSE,370.12,23.56,510,57.12
SASBDB_protein_dat\SASDAW4.dat,23.91,23.02,22.9,23.14,41.35,43.25,58843.78,48.84,2.25,2.71,2.62,2.8,13.536,7.084,1.700650118,FALSE,319.22,21.88,410,45.92
SASBDB_protein_dat\SASDAW8.dat,38.38,39.35,39,39.6,6738.3,7379.27,297773.98,247.15,2.86,2.91,2.85,2.97,15.081,8.3,2.609243419,FALSE,822.8,35.13,1639,183.57
SASBDB_protein_dat\SASDAX4.dat,32.81,28.23,28.09,28.38,65.29,62.6,115850.33,96.16,2.79,2.88,2.82,2.95,15.781,9.766,1.788860022,FALSE,462.52,26.34,706,79.07
SASBDB_protein_dat\SASDAX5.dat,52.98,55.62,54.84,56.37,384.16,411.24,631764.38,524.36,1.75,1.76,1.74,1.78,20.995,8.844,2.649202191,FALSE,1119.55,40.98,2571,287.95
SASBDB_protein_dat\SASDAX8.dat,30.37,29.47,29.29,29.69,45.77,46.98,185194.26,153.71,2.52,2.96,2.86,3.07,16.189,5.799,1.820371857,FALSE,560.65,29,935,104.72
SASBDB_protein_dat\SASDAY5.dat,30.63,32.64,32.12,33.21,66.56,70.95,140091.88,116.28,2,2.06,2.02,2.1,15.705,5.281,2.078319007,FALSE,505.16,27.53,803,89.94
SASBDB_protein_dat\SASDAY7.dat,49.42,41.99,40.92,43.19,0.02,0.02,239610.88,198.88,2.26,2.16,2.04,2.29,22.232,9.842,1.888718964,FALSE,699.02,32.38,1291,144.59
SASBDB_protein_dat\SASDAY8.dat,23.47,17.57,17.19,17.93,10.66,10.03,19063.02,15.82,2.84,2.61,1.92,3.82,19.668,16.464,0.893329266,FALSE,192.87,17.01,197,22.06
SASBDB_protein_dat\SASDAZ5.dat,44.18,34.91,34.06,35.66,3302.69,3284.03,142784.64,118.51,2.62,2.02,1.83,2.17,25.273,13.823,1.381316029,FALSE,529.6,28.19,860,96.32
SASBDB_protein_dat\SASDB23.dat,45.56,45.89,44.93,46.87,8858.7,9556.37,387270.58,321.43,2.28,2.32,2.26,2.38,18.758,8.413,2.44642286,FALSE,946.97,37.69,2012,225.34
SASBDB_protein_dat\SASDB24.dat,36.17,34.92,34.22,35.62,37.22,39.81,164306.49,136.37,2.52,2.14,2,2.26,13.193,7.365,2.646858182,FALSE,557.25,28.91,927,103.82
SASBDB_protein_dat\SASDB25.dat,35.1,35.08,34.36,35.65,0.09,0.1,99669.03,82.73,1.54,1.54,1.52,1.56,12.1,4.328,2.899173554,FALSE,428.22,25.34,631,70.67
SASBDB_protein_dat\SASDB26.dat,38.73,35.32,33.18,37.39,40.74,36.69,104316.08,86.58,1.61,1.65,1.6,1.71,11.778,4.258,2.998811343,FALSE,412.51,24.87,597,66.86
SASBDB_protein_dat\SASDB27.dat,51.57,51.58,51.16,52.12,2989.31,2967.72,513335.55,426.07,2,2.05,2.02,2.07,17.744,11.91,2.906898106,FALSE,1151.2,41.55,2677,299.82
SASBDB_protein_dat\SASDB32.dat,20.86,18.19,18.16,18.22,30.18,30.27,31120.53,25.83,2.86,2.92,2.85,2.98,8.699,3.477,2.091044948,FALSE,215.36,17.97,231,25.87
SASBDB_protein_dat\SASDB33.dat,45.1,47.02,46.73,47.28,12776.9,13892.51,550914.97,457.26,2.64,2.7,2.63,2.77,19.645,10.141,2.393484347,FALSE,1183.55,42.13,2788,312.26
SASBDB_protein_dat\SASDB34.dat,33.31,34.25,33.36,35.21,35.75,39.79,157304.72,130.56,2.41,2.22,2.15,2.32,14.029,6.618,2.441371445,FALSE,543.88,28.56,895,100.24
SASBDB_protein_dat\SASDB35.dat,33.23,33.39,33.24,33.53,83.61,84.15,252013.24,209.17,2.88,2.94,2.86,3.01,18.235,4.768,1.83109405,FALSE,680.83,31.96,1242,139.1
SASBDB_protein_dat\SASDB36.dat,45.8,40.99,38.2,43.45,49.15,42.98,145166.16,120.49,1.36,1.39,1.34,1.48,13.037,4.932,3.14412825,TRUE,498.05,27.33,787,88.14
SASBDB_protein_dat\SASDB38.dat,45.97,31.07,30.26,33.57,13728.75,3445.45,101559.23,84.29,2.12,1.68,1.64,1.72,25.21,20.178,1.232447441,FALSE,293.2,20.97,363,40.66
SASBDB_protein_dat\SASDB42.dat,24.23,23.29,23.18,23.39,40.29,40.32,51625.02,42.85,2.15,2.23,2.2,2.26,9.986,4.171,2.332265171,FALSE,282.67,20.59,344,38.53
SASBDB_protein_dat\SASDB43.dat,27.26,27.64,27.27,27.98,0.03,0.04,64609.41,53.63,1.49,1.52,1.5,1.53,9.746,3.008,2.836035297,FALSE,335,22.42,440,49.28
SASBDB_protein_dat\SASDB45.dat,37.45,33.04,32.64,33.38,3900.08,4214.91,132713.14,110.15,2.66,2.69,2.63,2.75,18.383,12.284,1.797312735,FALSE,544.65,28.58,896,100.35
SASBDB_protein_dat\SASDB46.dat,29.61,30.32,28.9,31.99,31.76,34.96,84691.84,70.29,1.56,1.44,1.4,1.49,12.153,5.173,2.494857237,FALSE,378.88,23.84,527,59.02
SASBDB_protein_dat\SASDB47.dat,41.98,43.84,40.58,48.4,0.04,0.04,294083.09,244.09,2.1,2.14,2.1,2.18,17.93,8.096,2.445064138,FALSE,813.24,34.93,1611,180.43
SASBDB_protein_dat\SASDB52.dat,40.03,25.52,25.21,25.86,797.27,765.65,86282.53,71.61,2.22,2.81,2.49,3.07,19.564,9.112,1.304436721,FALSE,407.41,24.72,586,65.63
SASBDB_protein_dat\SASDB53.dat,34.97,31.38,30.26,32.62,0,0,0,0,1.33,1.34,1.31,1.37,8.907,3.618,3.523071741,TRUE,0,0,0,0
SASBDB_protein_dat\SASDB54.dat,43.02,41.6,40.9,42.29,0.06,0.06,172940.83,143.54,1.71,1.78,1.73,1.82,13.373,6.034,3.110745532,TRUE,588.57,29.71,1004,112.45
SASBDB_protein_dat\SASDB55.dat,46.41,42.71,40.66,44.81,51.49,47.49,154127.32,127.93,1.24,1.24,1.18,1.29,11.982,4.502,3.564513437,TRUE,517.7,27.87,832,93.18
SASBDB_protein_dat\SASDB56.dat,37.97,32.81,30.74,34.94,37.81,32.41,74829.11,62.11,1.5,1.54,1.52,1.57,10.292,3.657,3.187912942,TRUE,338.82,22.54,448,50.18
SASBDB_protein_dat\SASDB58.dat,27.96,27.87,27.67,28.05,90.1,90.22,113813.16,94.46,2.39,2.39,2.34,2.44,13.02,4.961,2.140552995,FALSE,444.22,25.81,665,74.48
SASBDB_protein_dat\SASDB59.dat,37.17,37.17,35.78,38.52,11535.45,12390.85,117502.48,97.53,1.73,1.45,1.39,1.51,15.616,7.801,2.380251025,FALSE,470.04,26.55,723,80.98
SASBDB_protein_dat\SASDB62.dat,38.11,24.63,24.4,24.86,708.36,696.37,73528.19,61.03,2.1,2.92,2.56,3.24,18.719,14.503,1.315775415,FALSE,371.14,23.59,512,57.34
SASBDB_protein_dat\SASDB64.dat,29.83,28.73,26.36,35.52,0.02,0.02,66588.95,55.27,1.64,1.68,1.47,1.84,11.324,5.421,2.537089368,FALSE,337.15,22.49,445,49.84
SASBDB_protein_dat\SASDB65.dat,28.8,28.51,28.37,28.65,69972.17,72176.13,118582.11,98.42,2.3,2.4,2.36,2.45,13.974,4.823,2.040217547,FALSE,446.34,25.87,670,75.04
SASBDB_protein_dat\SASDB66.dat,40.4,31.28,29.35,33.9,46.28,34.23,58395.73,48.47,1.65,1.65,1.62,1.69,10.992,5.296,2.845705968,FALSE,303.92,21.35,382,42.78
SASBDB_protein_dat\SASDB69.dat,32.26,35.96,34.62,37.47,12121.46,14571.09,123745.41,102.71,2.22,2.17,2.11,2.22,14.895,7.515,2.414232964,FALSE,516.95,27.85,831,93.07
SASBDB_protein_dat\SASDB72.dat,36.78,23,22.7,23.31,645.26,605.32,58303.02,48.39,2.52,2.94,2.58,3.4,19.004,9.463,1.210271522,FALSE,334.18,22.39,439,49.17
SASBDB_protein_dat\SASDB73.dat,42.21,34.48,32.95,36.18,0.07,0.06,84416.58,70.07,1.32,1.35,1.33,1.37,10.038,2.244,3.434947201,TRUE,368.67,23.52,507,56.78
SASBDB_protein_dat\SASDB74.dat,48.93,45.17,42.9,47.73,12477.14,14236.47,267497.79,222.02,2.24,2.08,1.97,2.2,21.841,11.537,2.068128749,FALSE,782.14,34.25,1522,170.46
SASBDB_protein_dat\SASDB75.dat,41.84,43.46,42.63,43.99,0.01,0.01,534953.25,444.01,3.11,3.3,3.13,3.46,22.073,8.305,1.968921307,FALSE,1180.38,42.08,2777,311.02
SASBDB_protein_dat\SASDB76.dat,32.78,30.43,29.01,31.9,30.64,32.24,75930.25,63.02,1.52,1.4,1.35,1.45,12.666,3.974,2.402494868,FALSE,348.44,22.86,467,52.3
SASBDB_protein_dat\SASDB78.dat,37.05,39.76,38.29,40.62,0.01,0.01,292123.28,242.46,2.49,2.56,2.42,2.69,18.799,6.725,2.115006117,FALSE,829.11,35.27,1657,185.58
SASBDB_protein_dat\SASDB83.dat,29.57,29.56,29.26,29.85,0.06,0.06,61655.76,51.17,1.6,1.61,1.6,1.61,10.533,3.037,2.806417925,FALSE,312.27,21.64,397,44.46
SASBDB_protein_dat\SASDB84.dat,25.6,16.95,16.85,17.08,2439.24,2231,30974.47,25.71,2.71,2.89,2.82,2.97,11.731,5.955,1.444889609,FALSE,190.74,16.91,193,21.62
SASBDB_protein_dat\SASDB85.dat,19.17,16.85,16.61,17.08,0.14,0.14,19293.17,16.01,2.98,3.18,2.94,3.46,6.671,3.759,2.525858192,FALSE,199.42,17.3,206,23.07
SASBDB_protein_dat\SASDB86.dat,42.74,36.83,34.9,39.03,29.37,25.66,103233.04,85.68,1.35,1.35,1.3,1.39,10.548,5.051,3.491657186,TRUE,412.39,24.87,597,66.86
SASBDB_protein_dat\SASDB88.dat,35.15,39.58,38.55,40.19,0.04,0.05,244056.88,202.57,2.3,2.31,2.24,2.38,19.171,6.119,2.064576704,FALSE,735.89,33.22,1392,155.9
SASBDB_protein_dat\SASDB93.dat,36.63,36.93,32.92,39.36,0.01,0.02,146562.56,121.65,1.46,1.43,1.39,1.49,12.58,4.935,2.935612083,FALSE,586.24,29.65,998,111.78
SASBDB_protein_dat\SASDB94.dat,30.03,35.99,30.12,36.18,0.08,0.1,169477.07,140.67,2.98,3.19,3.06,3.32,13.376,7.203,2.690639952,FALSE,602.96,30.07,1040,116.48
SASBDB_protein_dat\SASDB95.dat,32.1,34.01,33.38,34.43,0.6,0.7,134571.48,111.69,2.43,1.98,1.88,2.08,17.168,6.881,1.981011184,FALSE,513.7,27.76,823,92.18
SASBDB_protein_dat\SASDB96.dat,47.54,40.2,38.11,42.62,32.81,30.71,137121.3,113.81,1.6,1.52,1.42,1.6,10.69,6.035,3.760523854,TRUE,492.97,27.19,775,86.8
SASBDB_protein_dat\SASDBA3.dat,53.23,51.43,50.28,52.61,0,0,0,0,1.41,1.41,1.4,1.42,12.456,4.794,4.128933847,TRUE,0,0,0,0
SASBDB_protein_dat\SASDBA4.dat,34.42,30.26,28.9,32.22,658.58,631.91,72573.95,60.24,1.82,1.34,1.3,1.38,13.347,7.536,2.267176144,FALSE,335.18,22.42,441,49.39
SASBDB_protein_dat\SASDBA5.dat,27.35,26.98,26.86,27.08,460.49,457.93,130054.06,107.94,3.01,3.12,3.03,3.22,10.097,6.142,2.672080816,FALSE,461.99,26.32,705,78.96
SASBDB_protein_dat\SASDBA6.dat,45.93,36.16,34.01,38.79,28.92,24.68,105206.56,87.32,1.5,1.52,1.48,1.56,12.545,5.715,2.882423276,FALSE,418.21,25.05,609,68.21
SASBDB_protein_dat\SASDBA9.dat,32.31,32.62,32.2,32.96,0.01,0.01,103880.3,86.22,2.03,2.02,1.97,2.09,13.637,5.264,2.392021706,FALSE,392.71,24.27,556,62.27
SASBDB_protein_dat\SASDBB3.dat,20.83,20.8,20.67,20.93,0.03,0.03,27614.24,22.92,1.78,1.79,1.78,1.8,9.069,2.516,2.293527401,FALSE,185.68,16.69,186,20.83
SASBDB_protein_dat\SASDBB4.dat,30.61,30.86,29.71,31.96,623.84,659.94,73986.49,61.41,1.82,1.45,1.41,1.48,12.894,5.046,2.393361253,FALSE,344.74,22.74,459,51.41
SASBDB_protein_dat\SASDBB5.dat,26.65,26.15,26.08,26.2,1605.73,1599.78,125566.35,104.22,3.14,3.24,3.15,3.3,10.356,6.12,2.525106219,FALSE,443.42,25.79,664,74.37
SASBDB_protein_dat\SASDBB6.dat,39.26,40.22,37.36,42.89,33.42,36.54,169496.75,140.68,1.71,1.77,1.7,1.84,11.391,6.439,3.530857695,TRUE,580.62,29.51,984,110.21
